"","id","start","end","PPTESTCD","PPORRES","exclude"
"1",1,0,8,"auclast",4449.59104647978,NA
"2",1,0,8,"cmax",1917.87761871587,NA
"3",1,0,8,"tmax",0.2,NA
"4",1,0,8,"tlast",8,NA
"5",1,0,8,"clast.obs",237.803127408515,NA
"6",1,0,8,"lambda.z",0.0886676841069806,NA
"7",1,0,8,"r.squared",0.999922928120836,NA
"8",1,0,8,"adj.r.squared",0.999911917852384,NA
"9",1,0,8,"lambda.z.time.first",7.2,NA
"10",1,0,8,"lambda.z.n.points",9,NA
"11",1,0,8,"clast.pred",237.730356960799,NA
"12",1,0,8,"half.life",7.81735970146282,NA
"13",1,0,8,"span.ratio",0.1023363425186,NA
"14",1,0,8,"aucinf.obs",7131.55043003148,NA
"15",2,0,8,"auclast",4996.41156254281,NA
"16",2,0,8,"cmax",1551.23124135478,NA
"17",2,0,8,"tmax",0.2,NA
"18",2,0,8,"tlast",8,NA
"19",2,0,8,"clast.obs",367.855372431805,NA
"20",2,0,8,"lambda.z",0.110341129863553,NA
"21",2,0,8,"r.squared",0.999905186073321,NA
"22",2,0,8,"adj.r.squared",0.999903492967487,NA
"23",2,0,8,"lambda.z.time.first",2.3,NA
"24",2,0,8,"lambda.z.n.points",58,NA
"25",2,0,8,"clast.pred",367.905845837834,NA
"26",2,0,8,"half.life",6.28185683268867,NA
"27",2,0,8,"span.ratio",0.907375024903325,NA
"28",2,0,8,"aucinf.obs",8330.21259291737,NA
"29",3,0,8,"auclast",4394.87845633113,NA
"30",3,0,8,"cmax",1616.98070783176,NA
"31",3,0,8,"tmax",0.2,NA
"32",3,0,8,"tlast",8,NA
"33",3,0,8,"clast.obs",279.810964039366,NA
"34",3,0,8,"lambda.z",0.110249636647587,NA
"35",3,0,8,"r.squared",0.999920644398407,NA
"36",3,0,8,"adj.r.squared",0.999916676618328,NA
"37",3,0,8,"lambda.z.time.first",5.9,NA
"38",3,0,8,"lambda.z.n.points",22,NA
"39",3,0,8,"clast.pred",279.5303729309,NA
"40",3,0,8,"half.life",6.28706997716093,NA
"41",3,0,8,"span.ratio",0.334018868507696,NA
"42",3,0,8,"aucinf.obs",6932.85474856856,NA
"43",4,0,8,"auclast",4727.73253657073,NA
"44",4,0,8,"cmax",1655.65452646745,NA
"45",4,0,8,"tmax",0.2,NA
"46",4,0,8,"tlast",8,NA
"47",4,0,8,"clast.obs",333.90610372991,NA
"48",4,0,8,"lambda.z",0.104993155046619,NA
"49",4,0,8,"r.squared",0.999910161899862,NA
"50",4,0,8,"adj.r.squared",0.999907595097001,NA
"51",4,0,8,"lambda.z.time.first",4.4,NA
"52",4,0,8,"lambda.z.n.points",37,NA
"53",4,0,8,"clast.pred",333.4901165128,NA
"54",4,0,8,"half.life",6.60183209326524,NA
"55",4,0,8,"span.ratio",0.545303174806958,NA
"56",4,0,8,"aucinf.obs",7907.99798893901,NA
"57",5,0,8,"auclast",4194.13149532501,NA
"58",5,0,8,"cmax",1631.49314116674,NA
"59",5,0,8,"tmax",0.2,NA
"60",5,0,8,"tlast",8,NA
"61",5,0,8,"clast.obs",255.903400074617,NA
"62",5,0,8,"lambda.z",0.1133305217046,NA
"63",5,0,8,"r.squared",0.99991205617807,NA
"64",5,0,8,"adj.r.squared",0.999907658986973,NA
"65",5,0,8,"lambda.z.time.first",5.9,NA
"66",5,0,8,"lambda.z.n.points",22,NA
"67",5,0,8,"clast.pred",255.626509634751,NA
"68",5,0,8,"half.life",6.11615626694685,NA
"69",5,0,8,"span.ratio",0.34335290145363,NA
"70",5,0,8,"aucinf.obs",6452.15869069642,NA
"71",6,0,8,"auclast",5834.30745945146,NA
"72",6,0,8,"cmax",1894.55932089119,NA
"73",6,0,8,"tmax",0.2,NA
"74",6,0,8,"tlast",8,NA
"75",6,0,8,"clast.obs",462.83759357653,NA
"76",6,0,8,"lambda.z",0.06247747996428,NA
"77",6,0,8,"r.squared",0.99991396163417,NA
"78",6,0,8,"adj.r.squared",0.999907816036611,NA
"79",6,0,8,"lambda.z.time.first",6.5,NA
"80",6,0,8,"lambda.z.n.points",16,NA
"81",6,0,8,"clast.pred",462.633239443077,NA
"82",6,0,8,"half.life",11.094352412361,NA
"83",6,0,8,"span.ratio",0.135203925767559,NA
"84",6,0,8,"aucinf.obs",13242.3782369724,NA
"85",7,0,8,"auclast",4718.69854177784,NA
"86",7,0,8,"cmax",1526.41713609761,NA
"87",7,0,8,"tmax",0.2,NA
"88",7,0,8,"tlast",8,NA
"89",7,0,8,"clast.obs",319.236678373633,NA
"90",7,0,8,"lambda.z",0.130120142120196,NA
"91",7,0,8,"r.squared",0.999913326475137,NA
"92",7,0,8,"adj.r.squared",0.999912013239912,NA
"93",7,0,8,"lambda.z.time.first",1.3,NA
"94",7,0,8,"lambda.z.n.points",68,NA
"95",7,0,8,"clast.pred",320.745044572068,NA
"96",7,0,8,"half.life",5.32697835450921,NA
"97",7,0,8,"span.ratio",1.25774868116904,NA
"98",7,0,8,"aucinf.obs",7172.0979399951,NA
"99",8,0,8,"auclast",5834.08730084428,NA
"100",8,0,8,"cmax",1956.14888767204,NA
"101",8,0,8,"tmax",0.2,NA
"102",8,0,8,"tlast",8,NA
"103",8,0,8,"clast.obs",468.38106243511,NA
"104",8,0,8,"lambda.z",0.0651653045790302,NA
"105",8,0,8,"r.squared",0.999905709948101,NA
"106",8,0,8,"adj.r.squared",0.999899816819858,NA
"107",8,0,8,"lambda.z.time.first",6.3,NA
"108",8,0,8,"lambda.z.n.points",18,NA
"109",8,0,8,"clast.pred",468.124624473935,NA
"110",8,0,8,"half.life",10.6367519501013,NA
"111",8,0,8,"span.ratio",0.159823224982116,NA
"112",8,0,8,"aucinf.obs",13021.6707159893,NA
"113",9,0,8,"auclast",3013.80342384429,NA
"114",9,0,8,"cmax",1190.70464914141,NA
"115",9,0,8,"tmax",0.2,NA
"116",9,0,8,"tlast",8,NA
"117",9,0,8,"clast.obs",144.001015371153,NA
"118",9,0,8,"lambda.z",0.184626566327284,NA
"119",9,0,8,"r.squared",0.99991814834549,NA
"120",9,0,8,"adj.r.squared",0.999916368961696,NA
"121",9,0,8,"lambda.z.time.first",3.3,NA
"122",9,0,8,"lambda.z.n.points",48,NA
"123",9,0,8,"clast.pred",143.954906351713,NA
"124",9,0,8,"half.life",3.75431983786784,NA
"125",9,0,8,"span.ratio",1.25189120878663,NA
"126",9,0,8,"aucinf.obs",3793.7616835667,NA
"127",10,0,8,"auclast",4261.22545388699,NA
"128",10,0,8,"cmax",1392.93588835047,NA
"129",10,0,8,"tmax",0.2,NA
"130",10,0,8,"tlast",8,NA
"131",10,0,8,"clast.obs",277.37157738176,NA
"132",10,0,8,"lambda.z",0.11748947287582,NA
"133",10,0,8,"r.squared",0.999911106603865,NA
"134",10,0,8,"adj.r.squared",0.999908637342861,NA
"135",10,0,8,"lambda.z.time.first",4.3,NA
"136",10,0,8,"lambda.z.n.points",38,NA
"137",10,0,8,"clast.pred",277.068051203121,NA
"138",10,0,8,"half.life",5.89965350591505,NA
"139",10,0,8,"span.ratio",0.627155475536037,NA
"140",10,0,8,"aucinf.obs",6622.04613502943,NA
"141",11,0,8,"auclast",4109.1344968927,NA
"142",11,0,8,"cmax",1660.6543871292,NA
"143",11,0,8,"tmax",0.2,NA
"144",11,0,8,"tlast",8,NA
"145",11,0,8,"clast.obs",238.530946815097,NA
"146",11,0,8,"lambda.z",0.107434371883471,NA
"147",11,0,8,"r.squared",0.999922346384043,NA
"148",11,0,8,"adj.r.squared",0.999916799697189,NA
"149",11,0,8,"lambda.z.time.first",6.5,NA
"150",11,0,8,"lambda.z.n.points",16,NA
"151",11,0,8,"clast.pred",238.359539949845,NA
"152",11,0,8,"half.life",6.45181954720944,NA
"153",11,0,8,"span.ratio",0.232492553305956,NA
"154",11,0,8,"aucinf.obs",6329.38247371171,NA
"155",12,0,8,"auclast",3910.37482906459,NA
"156",12,0,8,"cmax",1322.43486543764,NA
"157",12,0,8,"tmax",0.2,NA
"158",12,0,8,"tlast",8,NA
"159",12,0,8,"clast.obs",235.031045221522,NA
"160",12,0,8,"lambda.z",0.143395495992176,NA
"161",12,0,8,"r.squared",0.999902514292068,NA
"162",12,0,8,"adj.r.squared",0.999900395037548,NA
