"","id","start","end","PPTESTCD","PPORRES","exclude"
"1",1,0,24,"auclast",1.51056956216265,NA
"2",1,0,24,"cmax",1.10627298692883,NA
"3",1,0,24,"tmax",0.2,NA
"4",1,0,24,"tlast",24,NA
"5",1,0,24,"clast.obs",0.000137137252717594,NA
"6",1,0,24,"lambda.z",0.00805861924338753,NA
"7",1,0,24,"r.squared",0.999928159230955,NA
"8",1,0,24,"adj.r.squared",0.999916185769448,NA
"9",1,0,24,"lambda.z.time.first",23.3,NA
"10",1,0,24,"lambda.z.n.points",8,NA
"11",1,0,24,"clast.pred",0.000137134074464445,NA
"12",1,0,24,"half.life",86.0131443893077,NA
"13",1,0,24,"span.ratio",0.00813829101319329,NA
"14",1,0,24,"aucinf.obs",1.52758702490357,NA
"15",2,0,24,"auclast",1.51320446541777,NA
"16",2,0,24,"cmax",1.11746725131083,NA
"17",2,0,24,"tmax",0.2,NA
"18",2,0,24,"tlast",24,NA
"19",2,0,24,"clast.obs",0.000413276850167477,NA
"20",2,0,24,"lambda.z",0.0272276874112657,NA
"21",2,0,24,"r.squared",0.999903822346603,NA
"22",2,0,24,"adj.r.squared",0.999899975240467,NA
"23",2,0,24,"lambda.z.time.first",21.4,NA
"24",2,0,24,"lambda.z.n.points",27,NA
"25",2,0,24,"clast.pred",0.000413125104051053,NA
"26",2,0,24,"half.life",25.4574386024848,NA
"27",2,0,24,"span.ratio",0.102131248968081,NA
"28",2,0,24,"aucinf.obs",1.52838301671832,NA
"29",3,0,24,"auclast",1.26310969966586,NA
"30",3,0,24,"cmax",0.916434807236496,NA
"31",3,0,24,"tmax",0.2,NA
"32",3,0,24,"tlast",24,NA
"33",3,0,24,"clast.obs",0.000175300376581006,NA
"34",3,0,24,"lambda.z",0.013200425006151,NA
"35",3,0,24,"r.squared",0.999917387802981,NA
"36",3,0,24,"adj.r.squared",0.999909877603252,NA
"37",3,0,24,"lambda.z.time.first",22.8,NA
"38",3,0,24,"lambda.z.n.points",13,NA
"39",3,0,24,"clast.pred",0.000175287224718505,NA
"40",3,0,24,"half.life",52.5094593724792,NA
"41",3,0,24,"span.ratio",0.0228530252328009,NA
"42",3,0,24,"aucinf.obs",1.27638960364618,NA
"43",4,0,24,"auclast",1.44837145877284,NA
"44",4,0,24,"cmax",1.07422183899357,NA
"45",4,0,24,"tmax",0.2,NA
"46",4,0,24,"tlast",24,NA
"47",4,0,24,"clast.obs",0.00028940249058709,NA
"48",4,0,24,"lambda.z",0.0175722343930336,NA
"49",4,0,24,"r.squared",0.999907021068115,NA
"50",4,0,24,"adj.r.squared",0.99990155171918,NA
"51",4,0,24,"lambda.z.time.first",22.2,NA
"52",4,0,24,"lambda.z.n.points",19,NA
"53",4,0,24,"clast.pred",0.000289355636384119,NA
"54",4,0,24,"half.life",39.4455915540678,NA
"55",4,0,24,"span.ratio",0.0456324757491024,NA
"56",4,0,24,"aucinf.obs",1.46484076393427,NA
"57",5,0,24,"auclast",1.17829744799297,NA
"58",5,0,24,"cmax",0.84750039569686,NA
"59",5,0,24,"tmax",0.2,NA
"60",5,0,24,"tlast",24,NA
"61",5,0,24,"clast.obs",0.000167699697112619,NA
"62",5,0,24,"lambda.z",0.0127214811960333,NA
"63",5,0,24,"r.squared",0.999908725943051,NA
"64",5,0,24,"adj.r.squared",0.999901119771638,NA
"65",5,0,24,"lambda.z.time.first",22.7,NA
"66",5,0,24,"lambda.z.n.points",14,NA
"67",5,0,24,"clast.pred",0.000167685833265443,NA
"68",5,0,24,"half.life",54.4863581432701,NA
"69",5,0,24,"span.ratio",0.0238591831845632,NA
"70",5,0,24,"aucinf.obs",1.19147985140405,NA
"71",6,0,24,"auclast",3.23710046143568,NA
"72",6,0,24,"cmax",2.86161618222984,NA
"73",6,0,24,"tmax",0.2,NA
"74",6,0,24,"tlast",24,NA
"75",6,0,24,"clast.obs",0.000568951660631164,NA
"76",6,0,24,"lambda.z",0.0119095300380948,NA
"77",6,0,24,"r.squared",0.999907314322663,NA
"78",6,0,24,"adj.r.squared",0.999901135277507,NA
"79",6,0,24,"lambda.z.time.first",22.4,NA
"80",6,0,24,"lambda.z.n.points",17,NA
"81",6,0,24,"clast.pred",0.000568896598537387,NA
"82",6,0,24,"half.life",58.2010522953288,NA
"83",6,0,24,"span.ratio",0.027490911880444,NA
"84",6,0,24,"aucinf.obs",3.28487326681182,NA
"85",7,0,24,"auclast",1.30272229852913,NA
"86",7,0,24,"cmax",0.927841593143808,NA
"87",7,0,24,"tmax",0.2,NA
"88",7,0,24,"tlast",24,NA
"89",7,0,24,"clast.obs",0.00035000884543551,NA
"90",7,0,24,"lambda.z",0.0367301671487695,NA
"91",7,0,24,"r.squared",0.999913168103108,NA
"92",7,0,24,"adj.r.squared",0.999910173899767,NA
"93",7,0,24,"lambda.z.time.first",21,NA
"94",7,0,24,"lambda.z.n.points",31,NA
"95",7,0,24,"clast.pred",0.000349819887572831,NA
"96",7,0,24,"half.life",18.8713320511847,NA
"97",7,0,24,"span.ratio",0.158971289989657,NA
"98",7,0,24,"aucinf.obs",1.31225149135904,NA
"99",8,0,24,"auclast",3.02489346237935,NA
"100",8,0,24,"cmax",2.66767525730764,NA
"101",8,0,24,"tmax",0.2,NA
"102",8,0,24,"tlast",24,NA
"103",8,0,24,"clast.obs",0.000544705024503038,NA
"104",8,0,24,"lambda.z",0.0129703734617393,NA
"105",8,0,24,"r.squared",0.999908679814649,NA
"106",8,0,24,"adj.r.squared",0.999901069799203,NA
"107",8,0,24,"lambda.z.time.first",22.7,NA
"108",8,0,24,"lambda.z.n.points",14,NA
"109",8,0,24,"clast.pred",0.000544658813438038,NA
"110",8,0,24,"half.life",53.4408035824586,NA
"111",8,0,24,"span.ratio",0.0243259815132478,NA
"112",8,0,24,"aucinf.obs",3.06688955648642,NA
"113",9,0,24,"auclast",0.638947319132617,NA
"114",9,0,24,"cmax",0.427609138833623,NA
"115",9,0,24,"tmax",0.2,NA
"116",9,0,24,"tlast",24,NA
"117",9,0,24,"clast.obs",0.000134621169266324,NA
"118",9,0,24,"lambda.z",0.0206481529317844,NA
"119",9,0,24,"r.squared",0.99991425135864,NA
"120",9,0,24,"adj.r.squared",0.999910523156842,NA
"121",9,0,24,"lambda.z.time.first",21.6,NA
"122",9,0,24,"lambda.z.n.points",25,NA
"123",9,0,24,"clast.pred",0.000134588935737551,NA
"124",9,0,24,"half.life",33.5694520885189,NA
"125",9,0,24,"span.ratio",0.0714935708116852,NA
"126",9,0,24,"aucinf.obs",0.645467087254786,NA
"127",10,0,24,"auclast",1.19476378597207,NA
